path,pred
mEbal/User 4/close/left eye/500.jpg,0.6167948
mEbal/User 4/close/left eye/544.jpg,0.9900697
mEbal/User 4/close/left eye/662.jpg,0.99453604
mEbal/User 4/close/left eye/567.jpg,0.9703954
mEbal/User 4/close/left eye/453.jpg,0.98158973
mEbal/User 4/close/left eye/669.jpg,0.99082375
mEbal/User 4/close/left eye/565.jpg,0.96484405
mEbal/User 4/close/left eye/461.jpg,0.99439937
mEbal/User 4/close/left eye/608.jpg,0.9745147
mEbal/User 4/close/left eye/718.jpg,0.9615805
mEbal/User 4/close/left eye/478.jpg,0.9934308
mEbal/User 4/close/left eye/504.jpg,0.9894984
mEbal/User 4/close/left eye/702.jpg,0.9228871
mEbal/User 4/close/left eye/649.jpg,0.9909157
mEbal/User 4/close/left eye/485.jpg,0.9895852
mEbal/User 4/close/left eye/528.jpg,0.9863688
mEbal/User 4/close/left eye/529.jpg,0.9909801
mEbal/User 4/close/left eye/710.jpg,0.9789434
mEbal/User 4/close/left eye/697.jpg,0.83956635
mEbal/User 4/close/left eye/723.jpg,0.9439064
mEbal/User 4/close/left eye/547.jpg,0.9731819
mEbal/User 4/close/left eye/698.jpg,0.90234596
mEbal/User 4/close/left eye/459.jpg,0.9856779
mEbal/User 4/close/left eye/556.jpg,0.88079846
mEbal/User 4/close/left eye/584.jpg,0.98581785
mEbal/User 4/close/left eye/703.jpg,0.9850277
mEbal/User 4/close/left eye/742.jpg,0.9610938
mEbal/User 4/close/left eye/536.jpg,0.98249614
mEbal/User 4/close/left eye/543.jpg,0.97794193
mEbal/User 4/close/left eye/494.jpg,0.9606767
mEbal/User 4/close/left eye/691.jpg,0.98220694
mEbal/User 4/close/left eye/644.jpg,0.9901266
mEbal/User 4/close/left eye/572.jpg,0.9745112
mEbal/User 4/close/left eye/563.jpg,0.97634286
mEbal/User 4/close/left eye/701.jpg,0.83067137
mEbal/User 4/close/left eye/657.jpg,0.8677868
mEbal/User 4/close/left eye/517.jpg,0.98542154
mEbal/User 4/close/left eye/628.jpg,0.9489937
mEbal/User 4/close/left eye/682.jpg,0.963457
mEbal/User 4/close/left eye/498.jpg,0.01962612
mEbal/User 4/close/left eye/724.jpg,0.95829535
mEbal/User 4/close/left eye/638.jpg,0.96603626
mEbal/User 4/close/left eye/541.jpg,0.97321206
mEbal/User 4/close/left eye/537.jpg,0.0050769025
mEbal/User 4/close/left eye/612.jpg,0.97033507
mEbal/User 4/close/left eye/713.jpg,0.98284596
mEbal/User 4/close/left eye/681.jpg,0.95391625
mEbal/User 4/close/left eye/607.jpg,0.97312194
mEbal/User 4/close/left eye/557.jpg,0.9160587
mEbal/User 4/close/left eye/540.jpg,0.7655242
mEbal/User 4/close/left eye/497.jpg,0.01360378
mEbal/User 4/close/left eye/680.jpg,0.9572985
mEbal/User 4/close/left eye/721.jpg,0.9910774
mEbal/User 4/close/left eye/639.jpg,0.9692769
mEbal/User 4/close/left eye/539.jpg,0.94719946
mEbal/User 4/close/left eye/645.jpg,0.986087
