path,pred
mEbal/User 4/close/left eye/500.jpg,0.98133576
mEbal/User 4/close/left eye/544.jpg,0.9991788
mEbal/User 4/close/left eye/662.jpg,0.9999528
mEbal/User 4/close/left eye/567.jpg,0.48430848
mEbal/User 4/close/left eye/453.jpg,0.9937634
mEbal/User 4/close/left eye/669.jpg,0.99332124
mEbal/User 4/close/left eye/565.jpg,0.88520145
mEbal/User 4/close/left eye/461.jpg,0.99940264
mEbal/User 4/close/left eye/608.jpg,0.99988425
mEbal/User 4/close/left eye/718.jpg,0.9993942
mEbal/User 4/close/left eye/478.jpg,0.99986565
mEbal/User 4/close/left eye/504.jpg,0.9999461
mEbal/User 4/close/left eye/702.jpg,0.99928266
mEbal/User 4/close/left eye/649.jpg,0.9951786
mEbal/User 4/close/left eye/485.jpg,0.9998965
mEbal/User 4/close/left eye/528.jpg,0.99953496
mEbal/User 4/close/left eye/529.jpg,0.9991825
mEbal/User 4/close/left eye/710.jpg,0.95902437
mEbal/User 4/close/left eye/697.jpg,0.99986315
mEbal/User 4/close/left eye/723.jpg,0.98993766
mEbal/User 4/close/left eye/547.jpg,0.9980299
mEbal/User 4/close/left eye/698.jpg,0.9981527
mEbal/User 4/close/left eye/459.jpg,0.9975592
mEbal/User 4/close/left eye/556.jpg,0.9869708
mEbal/User 4/close/left eye/584.jpg,0.99511355
mEbal/User 4/close/left eye/703.jpg,0.97805697
mEbal/User 4/close/left eye/742.jpg,0.9825885
mEbal/User 4/close/left eye/536.jpg,0.9998889
mEbal/User 4/close/left eye/543.jpg,0.9999682
mEbal/User 4/close/left eye/494.jpg,0.9997569
mEbal/User 4/close/left eye/691.jpg,0.99751604
mEbal/User 4/close/left eye/644.jpg,0.9814819
mEbal/User 4/close/left eye/572.jpg,0.5552386
mEbal/User 4/close/left eye/563.jpg,0.99640477
mEbal/User 4/close/left eye/701.jpg,0.9997111
mEbal/User 4/close/left eye/657.jpg,0.9994479
mEbal/User 4/close/left eye/517.jpg,0.9999788
mEbal/User 4/close/left eye/628.jpg,0.9996557
mEbal/User 4/close/left eye/682.jpg,0.99911696
mEbal/User 4/close/left eye/498.jpg,0.3895397
mEbal/User 4/close/left eye/724.jpg,0.9938677
mEbal/User 4/close/left eye/638.jpg,0.9993962
mEbal/User 4/close/left eye/541.jpg,0.9998822
mEbal/User 4/close/left eye/537.jpg,0.5365469
mEbal/User 4/close/left eye/612.jpg,0.9998584
mEbal/User 4/close/left eye/713.jpg,0.9996611
