path,pred
mEbal/User 4/close/left eye/500.jpg,0.91492134
mEbal/User 4/close/left eye/544.jpg,0.99993443
mEbal/User 4/close/left eye/662.jpg,0.99892527
mEbal/User 4/close/left eye/567.jpg,0.024389606
mEbal/User 4/close/left eye/453.jpg,0.9830972
mEbal/User 4/close/left eye/669.jpg,0.4259288
mEbal/User 4/close/left eye/565.jpg,0.14474633
mEbal/User 4/close/left eye/461.jpg,0.99831223
mEbal/User 4/close/left eye/608.jpg,0.9997067
mEbal/User 4/close/left eye/718.jpg,0.94314754
mEbal/User 4/close/left eye/478.jpg,0.999951
mEbal/User 4/close/left eye/504.jpg,0.9997372
mEbal/User 4/close/left eye/702.jpg,0.9997334
mEbal/User 4/close/left eye/649.jpg,0.53680205
mEbal/User 4/close/left eye/485.jpg,0.999912
mEbal/User 4/close/left eye/528.jpg,0.9936603
mEbal/User 4/close/left eye/529.jpg,0.9989096
mEbal/User 4/close/left eye/710.jpg,0.07136243
mEbal/User 4/close/left eye/697.jpg,0.99996865
mEbal/User 4/close/left eye/723.jpg,0.9991135
mEbal/User 4/close/left eye/547.jpg,0.040035874
mEbal/User 4/close/left eye/698.jpg,0.9999627
mEbal/User 4/close/left eye/459.jpg,0.98697853
mEbal/User 4/close/left eye/556.jpg,0.0077204923
mEbal/User 4/close/left eye/584.jpg,0.99541384
mEbal/User 4/close/left eye/703.jpg,0.9904315
mEbal/User 4/close/left eye/742.jpg,0.9886467
mEbal/User 4/close/left eye/536.jpg,0.99977523
mEbal/User 4/close/left eye/543.jpg,0.9995677
mEbal/User 4/close/left eye/494.jpg,0.9995684
mEbal/User 4/close/left eye/691.jpg,0.9944299
mEbal/User 4/close/left eye/644.jpg,0.008471354
mEbal/User 4/close/left eye/572.jpg,0.67794424
mEbal/User 4/close/left eye/563.jpg,0.79165864
mEbal/User 4/close/left eye/701.jpg,0.9999591
mEbal/User 4/close/left eye/657.jpg,0.050146785
mEbal/User 4/close/left eye/517.jpg,0.9999418
mEbal/User 4/close/left eye/628.jpg,0.99995625
mEbal/User 4/close/left eye/682.jpg,0.114267305
mEbal/User 4/close/left eye/498.jpg,0.0046412353
mEbal/User 4/close/left eye/724.jpg,0.9991399
mEbal/User 4/close/left eye/638.jpg,0.97832835
